;;;;;;
;Punto d'inizio;;;Punto di fine;;
road_lcd;pnt_lcd_ini;lat_ini;lon_ini;pnt_lcd_fin;lat_fin;lon_fin
239;2609;45,49803;9,06678;2610;45,48859;9,06697
239;2610;45,48859;9,06697;2611;45,45736;9,07749
239;2611;45,45736;9,07749;2612;45,44566;9,07435
239;2612;45,44566;9,07435;2613;45,42807;9,07661
239;2613;45,42807;9,07661;2614;45,41947;9,08246
239;2614;45,41947;9,08246;2615;45,40124;9,12284
239;2615;45,40124;9,12284;2616;45,39535;9,14137
239;2616;45,39535;9,14137;2617;45,39114;9,15333
239;2617;45,39114;9,15333;42228;45,38884;9,18092
239;42228;45,38884;9,18092;2618;45,39085;9,18981
239;2618;45,39085;9,18981;2619;45,39035;9,21215
239;2619;45,39035;9,21215;44460;45,38302;9,25105
239;44460;45,38302;9,25105;2621;45,38211;9,26373
240;2622;45,42811;9,24684;14358;45,4308;9,25097
240;14358;45,4308;9,25097;2624;45,43537;9,25539
240;2624;45,43537;9,25539;2625;45,44601;9,25866
240;2625;45,44601;9,25866;2626;45,45069;9,25792
240;2626;45,45069;9,25792;2627;45,46193;9,25122
240;2627;45,46193;9,25122;2628;45,47482;9,25333
240;2628;45,47482;9,25333;2629;45,48709;9,25137
240;2629;45,48709;9,25137;2630;45,50548;9,25941
240;2630;45,50548;9,25941;2631;45,5127;9,2616
240;2631;45,5127;9,2616;2632;45,52131;9,26081
240;2632;45,52131;9,26081;2633;45,52983;9,26781
240;2633;45,52983;9,26781;2634;45,53699;9,28919
240;2634;45,53699;9,28919;2635;45,53748;9,29856
240;2635;45,53748;9,29856;2636;45,53825;9,30493
240;2636;45,53825;9,30493;2637;45,54669;9,32343
241;2650;45,08167;7,50387;2652;45,08237;7,50767
241;2652;45,08237;7,50767;2653;45,08407;7,51526
241;2653;45,08407;7,51526;2654;45,08415;7,52772
241;2654;45,08415;7,52772;2655;45,08232;7,54072
241;2655;45,08232;7,54072;2656;45,08074;7,54919
241;2656;45,08074;7,54919;2657;45,09854;7,57765
241;2657;45,09854;7,57765;14136;45,10139;7,58803
241;14136;45,10139;7,58803;2658;45,10524;7,60207
241;2658;45,10524;7,60207;2659;45,12019;7,63989
241;2659;45,12019;7,63989;2660;45,12664;7,66119
241;2660;45,12664;7,66119;2661;45,12793;7,67715
241;2661;45,12793;7,67715;2662;45,12885;7,68846
241;2662;45,12885;7,68846;2663;45,13056;7,69978
241;2663;45,13056;7,69978;2664;45,13328;7,70863
241;2664;45,13328;7,70863;2665;45,13474;7,71286
241;2665;45,13474;7,71286;2666;45,14245;7,73207
243;2686;44,95974;7,78709;2687;44,9597;7,78052
243;2687;44,9597;7,78052;2688;44,96621;7,73555
243;2688;44,96621;7,73555;14271;44,96759;7,72655
243;14271;44,96759;7,72655;2690;44,97106;7,70259
243;2690;44,97106;7,70259;2691;44,97262;7,66709
243;2691;44,97262;7,66709;2692;44,97523;7,65804
